sleeper ID,player,yr 1,probability 1st outcome,yr 2+ 1st outcome position rank,probability 2nd outcome,yr 2+ 2nd outcome position rank
,J.D. McKissic,119.5,80%,119.5,20%,119.5
,Jermar Jefferson,119.5,80%,119.5,20%,119.5
,J.J. Taylor,119.5,80%,119.5,20%,119.5
,Latavius Murray,119.5,80%,119.5,20%,119.5
,Rex Burkhead,119.5,80%,119.5,20%,119.5
,Trestan Ebner,119.5,80%,119.5,20%,119.5
,Boston Scott,119.5,80%,119.5,20%,119.5
,Darrell Henderson,119.5,80%,119.5,20%,119.5
,Eno Benjamin,119.5,80%,119.5,20%,119.5
,Kene Nwangwu,119.5,80%,119.5,20%,119.5
,Deon Jackson,119.5,80%,119.5,20%,119.5
8122,Zonovan Knight,119.5,80%,119.5,20%,119.5
,Jerick McKinnon,119.5,80%,119.5,20%,119.5
,Blake Watson,119.5,80%,119.5,20%,119.5
,Dalvin Cook,119.5,80%,119.5,20%,119.5
11604,Brock Bowers,1.5,50%,1.5,50%,3
8130,Trey McBride,1.5,50%,1.5,50%,3
5844,T.J. Hockenson,20,50%,25,50%,15
8110,Jake Ferguson,5.5,60%,5.5,40%,20
7553,Kyle Pitts,11.5,80%,11.5,20%,5.5
10859,Sam LaPorta,9,50%,9,50%,20
4066,Evan Engram,29.5,50%,29.5,50%,70
10236,Dalton Kincaid,9,70%,9,30%,29.5
4217,George Kittle,15,50%,5.5,50%,20
4033,David Njoku,15,50%,11.5,50%,25
5022,Dallas Goedert,11.5,80%,20,20%,11.5
8131,Isaiah Likely,15,60%,15,40%,29.5
5012,Mark Andrews,25,80%,25,20%,9
6826,Cole Kmet,37,50%,70,50%,37
7600,Pat Freiermuth,39,75%,37,25%,15
1466,Travis Kelce,25,80%,25,20%,25
4144,Jonnu Smith,33.5,50%,37,50%,70
3214,Hunter Henry,20,80%,33.5,20%,20
11596,Ben Sinnott,70,80%,70,20%,39
9484,Tucker Kraft,3,50%,3,50%,9
8111,Cade Otton,29.5,50%,37,50%,70
11592,Erick All,70,95%,70,5%,37
5001,Dalton Schultz,20,75%,70,25%,29.5
11600,Ja'Tavion Sanders,29.5,40%,29.5,60%,70
1339,Zach Ertz,25,80%,25,20%,25
4993,Mike Gesicki,29.5,60%,29.5,40%,70
5857,Noah Fant,37,90%,70,10%,37
11597,Theo Johnson,20,50%,70,50%,37
,Tyler Conklin,33.5,80%,70,20%,37
,Jelani Woods,70,80%,70,20%,70
8210,Chig Okonkwo,37,50%,70,50%,37
,Tyler Higbee,40.5,80%,70,20%,42
7002,Juwan Johnson,20,50%,70,50%,29.5
9481,Luke Musgrave,33.5,80%,70,20%,37
8172,Greg Dulcich,70,80%,70,20%,70
,Hayden Hurst,70,80%,70,20%,70
4381,Taysom Hill,9,80%,9,20%,9
6865,Colby Parkinson,70,80%,70,20%,70
9482,Michael Mayer,70,90%,70,10%,37
8225,Daniel Bellinger,70,80%,70,20%,70
7828,Noah Gray,70,80%,70,20%,37
,Will Dissly,70,80%,70,20%,70
11599,Cade Stover,70,80%,70,20%,40.5
9480,Brenton Strange,25,50%,25,50%,70
,Luke Schoonmaker,70,95%,70,5%,37
5906,Dawson Knox,70,80%,70,20%,70
9479,Darnell Washington,70,80%,70,20%,70
11603,AJ Barner,70,80%,70,20%,70
,Davis Allen,70,80%,70,20%,70
10231,Elijah Higgins,70,80%,70,20%,70
11595,Jared Wiley,70,80%,70,20%,70
,Brevin Jordan,70,80%,70,20%,70
,Tommy Tremble,70,80%,70,20%,70
7891,Brock Wright,70,80%,70,20%,70
,Foster Moreau,70,80%,70,20%,70
,Josh Oliver,70,80%,70,20%,70
,Jaheim Bell,70,80%,70,20%,70
,Lucas Krull,70,80%,70,20%,70
,Adam Trautman,70,80%,70,20%,70
,Jeremy Ruckert,70,80%,70,20%,70
,Austin Hooper,70,80%,70,20%,70
,Kylen Granson,70,80%,70,20%,70
,Charlie Kolar,70,80%,70,20%,70
,Josh Whyle,70,80%,70,20%,70
,Drew Sample,70,80%,70,20%,70
,Peyton Hendershot,70,80%,70,20%,70
,Harrison Bryant,70,80%,70,20%,70
,Tip Reiman,70,80%,70,20%,70
,Gerald Everett,70,80%,70,20%,70
,Will Mallory,70,80%,70,20%,70
,Tanner Hudson,70,80%,70,20%,70
,Drew Ogletree,70,80%,70,20%,70
,Mo Alie-Cox,70,80%,70,20%,70
,Hunter Long,70,80%,70,20%,70
,Ian Thomas,70,80%,70,20%,70
,John Bates,70,80%,70,20%,70
,Durham Smythe,70,80%,70,20%,70
,Albert Okwuegbunam,70,80%,70,20%,70
2505,Darren Waller,70,90%,70,10%,37
,C.J. Uzomah,70,80%,70,20%,70
,Josiah Deguara,70,80%,70,20%,70
,Donald Parham,70,80%,70,20%,70
,Irv Smith,70,80%,70,20%,70
,Teagan Quitoriano,70,80%,70,20%,70
,Logan Thomas,70,80%,70,20%,70
,Robert Tonyan,70,80%,70,20%,70
,James Mitchell,70,80%,70,20%,70
,Brycen Hopkins,70,80%,70,20%,70
,Cole Turner,70,80%,70,20%,70
,Johnny Mundt,70,80%,70,20%,70
7564,Ja'Marr Chase,2,80%,2,20%,4.5
11632,Malik Nabers,31,80%,2,20%,4.5
7569,Nico Collins,14.5,50%,14.5,50%,4.5
6794,Justin Jefferson,6,50%,4.5,50%,2
9493,Puka Nacua,2,80%,4.5,20%,2
6786,CeeDee Lamb,2,80%,4.5,20%,6
8146,Garrett Wilson,14.5,75%,14.5,25%,6
7547,Amon-Ra St. Brown,4.5,80%,4.5,20%,14.5
8112,Drake London,9,50%,9,50%,4.5
11631,Brian Thomas,31,60%,31,40%,7
11628,Marvin Harrison,31,60%,31,40%,7
5859,A.J. Brown,14.5,70%,14.5,30%,4.5
6801,Tee Higgins,9,40%,9,60%,20.5
11620,Rome Odunze,20.5,50%,20.5,50%,14.5
9488,Jaxon Smith-Njigba,4.5,50%,4.5,50%,14.5
9997,Zay Flowers,14.5,50%,14.5,50%,20.5
7526,Jaylen Waddle,20.5,50%,20.5,50%,14.5
11635,Ladd McConkey,14.5,50%,14.5,50%,31
8137,George Pickens,9,50%,9,50%,20.5
5927,Terry McLaurin,31,50%,31,50%,14.5
9500,Josh Downs,67,60%,67,40%,40.5
8144,Chris Olave,9,50%,9,50%,14.5
3321,Tyreek Hill,168.5,80%,168.5,20%,31
7525,DeVonta Smith,20.5,50%,20.5,50%,31
4983,DJ Moore,51.5,50%,51.5,50%,31
9756,Jordan Addison,31,80%,31,20%,51.5
10222,Jayden Reed,40.5,80%,40.5,20%,51.5
5846,DK Metcalf,31,80%,31,20%,14.5
2216,Mike Evans,20.5,50%,20.5,50%,51.5
8134,Khalil Shakir,43.5,80%,43.5,20%,67
6819,Michael Pittman,14.5,50%,14.5,50%,31
11624,Xavier Worthy,31,60%,51.5,40%,67
4039,Cooper Kupp,59,80%,59,20%,168.5
5045,Courtland Sutton,31,80%,31,20%,14.5
8148,Jameson Williams,51.5,80%,51.5,20%,31
9502,Tank Dell,168.5,60%,168.5,40%,51.5
6803,Brandon Aiyuk,51.5,60%,51.5,40%,14.5
10229,Rashee Rice,9,50%,9,50%,168.5
7049,Jauan Jennings,51.5,50%,51.5,50%,31
5947,Jakobi Meyers,31,80%,31,20%,20.5
,Amari Cooper,168.5,80%,168.5,20%,168.5
7090,Darnell Mooney,79.5,80%,79.5,20%,51.5
10444,Cedric Tillman,79.5,80%,79.5,20%,51.5
4037,Chris Godwin,40.5,50%,40.5,50%,31
5872,Deebo Samuel,51.5,80%,51.5,20%,31
8676,Rashid Shaheed,51.5,70%,51.5,30%,31
,Diontae Johnson,168.5,50%,168.5,50%,168.5
4981,Calvin Ridley,51.5,50%,51.5,50%,31
5848,Hollywood Brown,67,50%,67,50%,51.5
2133,Davante Adams,20.5,80%,20.5,20%,9
4950,Christian Kirk,67,80%,67,20%,51.5
11646,Jalen Coker,51.5,60%,51.5,40%,31
8167,Christian Watson,31,95%,31,5%,7
7571,Rashod Bateman,67,80%,67,20%,51.5
11626,Xavier Legette,67,50%,67,50%,67
2449,Stefon Diggs,40.5,80%,40.5,20%,31
11625,Adonai Mitchell,79.5,90%,79.5,10%,31
9486,Dontayvion Wicks,79.5,80%,79.5,20%,79.5
6783,Jerry Jeudy,67,90%,67,10%,51.5
11638,Ricky Pearsall,51.5,50%,51.5,50%,31
,Adam Thielen,168.5,80%,168.5,20%,168.5
11637,Keon Coleman,79.5,80%,79.5,20%,51.5
1426,DeAndre Hopkins,168.5,80%,168.5,20%,168.5
8126,Wan'Dale Robinson,43.5,50%,43.5,50%,31
8121,Romeo Doubs,51.5,80%,51.5,20%,31
9501,DeMario Douglas,168.5,95%,168.5,5%,168.5
,Elijah Moore,168.5,95%,168.5,5%,168.5
,Javon Baker,168.5,80%,168.5,20%,168.5
,Jermaine Burton,168.5,95%,168.5,5%,168.5
1479,Keenan Allen,67,50%,168.5,50%,168.5
4082,Curtis Samuel,168.5,80%,168.5,20%,168.5
,Gabe Davis,168.5,80%,168.5,20%,168.5
8142,Alec Pierce,31,80%,31,20%,51.5
11619,Ja'Lynn Polk,168.5,95%,168.5,5%,168.5
,Tyler Boyd,168.5,80%,168.5,20%,168.5
,Brandin Cooks,168.5,80%,168.5,20%,168.5
,Mike Williams,168.5,80%,168.5,20%,168.5
10232,Michael Wilson,31,50%,31,50%,51.5
2374,Tyler Lockett,168.5,80%,168.5,20%,168.5
9754,Quentin Johnston,31,30%,31,70%,51.5
11618,Jalen McMillan,51.5,70%,51.5,30%,31
11650,Luke McCaffrey,168.5,80%,168.5,20%,168.5
,Kendrick Bourne,168.5,95%,168.5,5%,168.5
7670,Joshua Palmer,168.5,95%,168.5,5%,168.5
8119,Jahan Dotson,168.5,80%,168.5,20%,168.5
,Odell Beckham,168.5,80%,168.5,20%,168.5
,Rondale Moore,168.5,80%,168.5,20%,168.5
9494,Marvin Mims,79.5,80%,79.5,20%,67
10213,Tre Tucker,67,50%,67,50%,51.5
,Trey Palmer,168.5,80%,168.5,20%,168.5
,Jalin Hyatt,168.5,80%,168.5,20%,168.5
,Jonathan Mingo,168.5,95%,168.5,5%,168.5
,Greg Dortch,168.5,80%,168.5,20%,168.5
,Bo Melton,168.5,80%,168.5,20%,168.5
11630,Roman Wilson,168.5,95%,168.5,5%,168.5
,Jacob Cowing,168.5,80%,168.5,20%,168.5
11629,Devontez Walker,168.5,80%,168.5,20%,168.5
,Ainias Smith,168.5,80%,168.5,20%,168.5
,Malachi Corley,168.5,80%,168.5,20%,168.5
11627,Troy Franklin,51.5,50%,51.5,50%,79.5
10226,Andrei Iosivas,168.5,95%,168.5,5%,168.5
9504,Kayshon Boutte,51.5,50%,51.5,50%,79.5
8147,John Metchie,168.5,80%,168.5,20%,168.5
11834,Devaughn Vele,67,90%,67,10%,40.5
,Jalen Tolbert,168.5,95%,168.5,5%,168.5
11623,Jordan Whittington,168.5,95%,168.5,5%,168.5
7496,Nick Westbrook-Ikhine,168.5,80%,168.5,20%,168.5
8125,Calvin Austin,168.5,80%,168.5,20%,168.5
11610,Malik Washington,168.5,80%,168.5,20%,168.5
9487,Parker Washington,40.5,60%,40.5,40%,168.5
8180,Jalen Nailor,168.5,80%,168.5,20%,168.5
,Noah Brown,168.5,80%,168.5,20%,168.5
6149,Darius Slayton,67,50%,67,50%,168.5
7562,Tutu Atwell,168.5,95%,168.5,5%,168.5
,Ray-Ray McCloud,168.5,80%,168.5,20%,168.5
